feature,importance
logret,770
logret_lag3,757
logret_lag2,675
logret_lag1,665
bb_width,659
obv,603
stoch_d_lag3,598
stoch_k,582
momentum_lag1,557
rsi14,530
stoch_k_lag3,523
momentum_lag3,511
momentum,498
stoch_k_lag1,489
bb_pct_lag3,483
stoch_k_lag2,468
rsi14_lag3,443
rsi14_lag1,439
momentum_lag2,419
stoch_d,402
bb_pct_lag2,394
bb_pct,386
bb_pct_lag1,381
Volume,342
rsi14_lag2,339
stoch_d_lag2,318
stoch_d_lag1,315
macd_signal_lag3,314
vpt,293
ama_cross,287
vpt_lag3,260
macd_signal_lag2,239
sma_200,225
ama_cross_lag3,216
macd_signal,210
vpt_lag2,209
macd_lag3,205
macd,204
vpt_lag1,198
macd_signal_lag1,193
atr14,180
ama_cross_lag2,170
atr14_lag3,169
ama_cross_lag1,149
atr14_lag2,146
atr14_lag1,146
macd_lag2,127
macd_lag1,125
sma_50,124
Open,96
High,84
ema_10,61
Low,58
Close,57
ema_20,40
sym_ETHUSDT,16
sym_BNBUSDT,11
sym_ADAUSDT,4
sym_SOLUSDT,1
sym_DOGEUSDT,0
sym_BTCUSDT,0
